Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion,label_conflict,Review_Clean,Review_Preprocessed,Sentiment_Label,Emotion_Label
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,5,"Pengiriman super cepat, barang bagus, recommended seller, thanks",Positive,Happy,False,"pengiriman super cepat, barang bagus, recommended seller, thanks",kirim super cepat barang bagus recommended seller thanks,1,4
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Jakarta Utara,66000,4.8,2702,882,5,alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,Positive,Happy,False,alhamdulillah barangnya udah nyampe. d coba bagus. semoga awet. terima kasih seller kurir dan tokopedia.,alhamdulillah barang udah nyampe coba bagus moga awet terima kasih seller kurir tokopedia,1,4
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Jakarta Pusat,25000,4.9,2122,828,5,"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",Positive,Happy,False,"penjual amanah, responsif. kabel berfungsi baik. pengiriman cepat. terima kasih.",jual amanah responsif kabel fungsi baik kirim cepat terima kasih,1,4
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Jakarta Pusat,55000,4.9,2010,970,5,"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",Positive,Happy,False,"alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",alhamdulillah barang pakai moga fungsi baik awet kurir baik smoga rezeki lancar terus,1,4
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,700,5,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,Positive,Happy,False,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,bagus jalan baik cukup silent kokoh muat laptop inch,1,4
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,700,5,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",Positive,Happy,False,"packing aman, pengiriman cepat dan barang berfungsi dengan baik",packing aman kirim cepat barang fungsi baik,1,4
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah,Positive,Happy,False,produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah,produk baik kualitasny good banget produk konsumen kondisi baik sesuai sih sama harga so overall very good lah,1,4
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,barang udah sampai ya gan dan berfungsi. terima kasih,Positive,Happy,False,barang udah sampai ya gan dan berfungsi. terima kasih,barang udah gan fungsi terima kasih,1,4
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,barang mantap sesuai deskripsi laptop jadi adem n sejuk,Positive,Happy,False,barang mantap sesuai deskripsi laptop jadi adem n sejuk,barang mantap sesuai deskripsi laptop jadi adem sejuk,1,4
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"produk saya terima dengan kondisi baik, terima kasih ^^",Positive,Happy,False,"produk saya terima dengan kondisi baik, terima kasih ^^",produk terima kondisi baik terima kasih,1,4
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",Positive,Happy,False,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",belanja dua kali selalu puas kirim lumayan cepat overall bagus banget,1,4
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin .",Positive,Happy,False,"kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga sukses usaha-nya, aamiin .",kualitas barang bagus harga relatif murah kirim super cepat response jual baik recommended seller bintang terima kasih yah moga sukses usaha nya aamiin,1,4
Computers and Laptops,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND,Jakarta Barat,74900,4.7,3713,2153,5,mantab barang nya oke punya,Positive,Happy,False,mantab barang nya oke punya,mantab barang nya oke punya,1,4
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,"pengiriman cepat, packing rapi, kualitas mantap",Positive,Happy,False,"pengiriman cepat, packing rapi, kualitas mantap",kirim cepat packing rapi kualitas mantap,1,4
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,silent dan bagus untuk pekerjaan ringan,Positive,Happy,False,silent dan bagus untuk pekerjaan ringan,silent bagus kerja ringan,1,4
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu,Positive,Happy,False,barang cepat sampai. kualitas bagus dan pengiriman aman tidak ada yang pecah. manstapu,barang cepat kualitas bagus kirim aman tidak pecah manstapu,1,4
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",Positive,Happy,False,"bagus, berkualitas, sesuai gbr. makasih seller, tokped dan kurir",bagus kualitas sesuai gbr makasih seller tokped kurir,1,4
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy,False,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",mantap kipas kenceng barang kualitas sesuai sama harga,1,4
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,Positive,Happy,False,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,mantap proses kerja kirim barang sesuai deskripsi,1,4
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah,Positive,Happy,False,penjualnya ramah melayani pembeli dengan sabar dan memberikan berbagai saran yang pembeli tidak tahu . mantap lah,jual ramah layan beli sabar beri bagai saran beli tidak tahu mantap lah,1,4
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",Positive,Happy,False,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",barang cepat packingnya rapi sekali tidak bagi acrylic pecah fungsi baik moga awet,1,4
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,Sangat presisi dan pas,Positive,Happy,False,sangat presisi dan pas,sangat presisi pas,1,4
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",Positive,Happy,False,"puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended.",puas banget seller helpfull sangat responsif cepet banget nya recomended,1,4
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",Positive,Happy,False,"mantapp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. cas juga responsif",mantapp responnya muas coba pasang presisi nyaman cas responsif,1,4
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,Mantap barangnya cepet sampai dan enak digunainnya!,Positive,Happy,False,mantap barangnya cepet sampai dan enak digunainnya!,mantap barang cepet enak digunainnya,1,4
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,"Barang bagus,oke, cepat pengirimannya juga",Positive,Happy,False,"barang bagus,oke, cepat pengirimannya juga",barang bagus oke cepat kirim,1,4
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,"Pengiriman cepat, seller responsif",Positive,Happy,False,"pengiriman cepat, seller responsif",kirim cepat seller responsif,1,4
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan,Positive,Happy,False,barang berfungsi baik. pemilik toko sangat responsif dan membantu saat ada sedikit kendala. sukses tokonya ya gan,barang fungsi baik milik toko sangat responsif bantu sedikit kendala sukses toko gan,1,4
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",Positive,Happy,False,"seller luar biasa. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih.",seller luar biasa packing baik kirim cepat penting nya barang sesuai deskripsi fungsi terima kasih,1,4
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Jakarta Timur,119000,4.9,9777,5546,1,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,Negative,Sadness,False,sangat kecewa. baru 4 bulan scroll sudah rusak.,sangat kecewa baru bulan scroll rusak,0,2
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,1,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",Negative,Sadness,False,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",jelek yg jauh ori mousepad jd ga bs pakai kl charger jd getar parah barang ga sesui foto kayak barang lapak belah yg harga rban padahal belum pernah beli sini bagus persis spt foto yg indikator ujung charger makanya order sini lg walaupun sedikit mahal nyata barang tdk sama dgn order belum,0,2
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Jakarta Pusat,25000,4.9,2122,828,1,gak bisa di pakai,Negative,Sadness,False,gak bisa di pakai,gak pakai,0,2
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,1,Kecewa parah nggk berkah jualan gitu,Negative,Sadness,False,kecewa parah nggk berkah jualan gitu,kecewa parah nggk berkah jual gitu,0,2
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,kecewa penjual ga tanggung jawab komplen berhari gada solusi,Negative,Sadness,False,kecewa penjual ga tanggung jawab komplen berhari gada solusi,kecewa jual ga tanggung jawab komplen hari gada solusi,0,2
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,"pas beli nanya dulu tipe untuk macbook pro 13inch M1 yang mana di variasi nya, kata penjualnya yang new pro 13 . pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",Negative,Sadness,False,"pas beli nanya dulu tipe untuk macbook pro 13inch m1 yang mana di variasi nya, kata penjualnya yang new pro 13 . pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",pas beli nanya dulu tipe macbook pro inch mana variasi nya kata jual new pro pas dateng casing kecil salah tipe nyata jual pake banyak alesan gamau tanggung jawab padahal salah yg ngejual kecewa gamau beli sini ga tanggung jawab,0,2
Computers and Laptops,CASE MACBOOK Case MATTE BLACK AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - NEW AIR A2337M1,Kota Bandung,99000,4.9,1848,952,1,Barang sampai terlalu lama padahal masih dalam kota. Casing mudah lepas. Jujur mengecewakan.,Negative,Sadness,False,barang sampai terlalu lama padahal masih dalam kota. casing mudah lepas. jujur mengecewakan.,barang terlalu lama padahal kota casing mudah lepas jujur kecewa,0,2
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1191,1,"kecewa belanja di tempat kamu, lain di pesan lain dikirim",Negative,Sadness,False,"kecewa belanja di tempat kamu, lain di pesan lain dikirim",kecewa belanja tempat kamu pesan kirim,0,2
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1191,1,"Tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",Negative,Sadness,False,"tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",tidak tissue bersih alat bantu lain pasang sangat kecewa,0,2
Computers and Laptops,SanDisk Extreme Pro SDXC UHS-I Card 64GB 170MB/s,Jakarta Pusat,279000,5.0,3111,1456,1,"salah beli barang, tp toko tidak ada kompromi sama sekali. Padahal barang masih disegel, kecewa dehhh..",Negative,Sadness,False,"salah beli barang, tp toko tidak ada kompromi sama sekali. padahal barang masih disegel, kecewa dehh.",salah beli barang tp toko tidak kompromi sama sekali padahal barang segel kecewa dehh,0,2
Computers and Laptops,SanDisk Extreme SDHC UHS-I Card 32GB,Jakarta Pusat,119000,5.0,2215,1010,1,Data sering error dan hilang,Negative,Sadness,False,data sering error dan hilang,data sering error hilang,0,2
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Jakarta Timur,200000,4.9,3225,1528,1,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe",Negative,Sadness,False,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe",kecewa sama toko official ga tau sen pertama ga konfirmasi sampe batalin sistem ga direspon sama sekali pesan dua suruh pesan sama toko cuma konfirmasi doang ga kirim sampe udah tinggal menit dibatalin sistem untung gara chat cs tokopedia akhir barang bakal kirim detik akhir ga cuma sampe situ aja payah barang baru ambil kurir tanggal pickup barang sama kurir lebih hari proses kirim lot muter padahal udah lewat depan rumah baru tanggal jam malem paket sampe,0,2
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,1,"Packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",Negative,Sadness,False,"packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",packing ada bubble selap tambah lapis plastik hasil barang terima ada patah,0,2
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,1,Mic dari awal ga nyala,Negative,Sadness,False,mic dari awal ga nyala,mic awal ga nyala,0,2
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Jakarta Pusat,75900,4.9,6754,3507,1,"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.",Negative,Sadness,False,"kartu sd nya cuma 29,71 gb, katanya official, tapi malah mksofficial. kecewa, ini tidak original.",kartu sd nya cuma gb kata official malah mksofficial kecewa tidak original,0,2
Computers and Laptops,SSD 128GB RX7 GARANSI RESMI 3THN,Kota Tangerang,210000,5.0,15400,3486,1,Kecepatan tdk sesuai dgn deskripsi,Negative,Sadness,False,kecepatan tdk sesuai dgn deskripsi,cepat tdk sesuai dgn deskripsi,0,2
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,tidak berfugsi,Negative,Sadness,False,tidak berfugsi,tidak berfugsi,0,2
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,"Mouse kurang bagus , Pointer nya gerak gerak sendiri .",Negative,Sadness,False,"mouse kurang bagus , pointer nya gerak gerak sendiri .",mouse kurang bagus pointer nya gerak gerak sendiri,0,2
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,infra red nya jelek suka mental ke mana2,Negative,Sadness,False,infra red nya jelek suka mental ke mana2,infra red nya jelek suka mental mana,0,2
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,Batre tidak sesuai ukuran dan tidak ada nano receiver.,Negative,Sadness,False,batre tidak sesuai ukuran dan tidak ada nano receiver.,batre tidak sesuai ukur tidak nano receiver,0,2
Computers and Laptops,Mouse Wireless Komic KM-803 - 1200DPI Nano USB Free Battery - Hijau,Jakarta Utara,90000,4.8,4563,1811,1,boros batre,Negative,Sadness,False,boros batre,boros batre,0,2
Computers and Laptops,HTB-3100 25km single fiber mode transceiver Optical Media Converter,Jakarta Utara,150000,4.9,5384,634,1,barang error 1,Negative,Sadness,False,barang error 1,barang error,0,2
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan ya parah,",Negative,Sadness,False,"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan ya parah,",jaringanya ngelek banget lelet mending pake indihome de nyesel beli orbit jaring parah,0,2
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,tdk sesuai ekspektasi,Negative,Sadness,False,tdk sesuai ekspektasi,tdk sesuai ekspektasi,0,2
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,lambat,Negative,Sadness,False,lambat,lambat,0,2
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,Katanya dapat paket 150 GB ternyata setelah di regiatrasi cm 300 mB..,Negative,Sadness,False,katanya dapat paket 150 gb ternyata setelah di regiatrasi cm 300 mb.,kata paket gb nyata regiatrasi cm mb,0,2
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,"tidak bisa di register call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit",Negative,Sadness,False,"tidak bisa di register call center dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit call center dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit",tidak register call center team orbin tidak helpful dar minta info gerai orbin buka no telp suruh cari google bukan tidak mau cari rata nomor telp tidak hubungin jadi apa salah beri info valid sesal beli orbit call center team orbin tidak helpful dar minta info gerai orbin buka no telp suruh cari google bukan tidak mau cari rata nomor telp tidak hubungin jadi apa salah beri info valid sesal beli orbit,0,2
Computers and Laptops,Telkomsel Orbit Star 2,Kota Tangerang,629000,4.8,5998,3441,1,Tidak sesuai,Negative,Sadness,False,tidak sesuai,tidak sesuai,0,2
